# Aliases present in mathlib v4.32.0 and ABSENT in v4.33.1 — deleted outright, NOT @[deprecated].
# Each produces a bare `Unknown identifier` with nothing to grep for.
# Generated by diffing `alias X := Y` declarations across the two tags; `replacement` is
# what the alias pointed at in v4.32.0, so it is the mechanical substitution.
# uses_in_reservoir = occurrences across the ~700-package Reservoir mirror. Those packages
# are pinned at many different mathlib versions, so a count is 'will break on bumping', not
# 'is broken today'.
removed_alias	replacement	uses_in_reservoir
ae_eq_of_integral_smooth_smul_eq	ae_eq_of_integral_contMDiff_smul_eq	0
ae_eq_zero_of_integral_smooth_smul_eq_zero	ae_eq_zero_of_integral_contMDiff_smul_eq_zero	0
aeval_derivative_of_splits	Splits.eval_derivative	0
aeval_eq_prod_aroots_sub_of_monic_of_splits	Splits.aeval_eq_prod_aroots_of_monic	0
aeval_eq_prod_aroots_sub_of_splits	Splits.aeval_eq_prod_aroots	0
aeval_root_derivative_of_splits	Splits.eval_root_derivative	0
algebraMapCoeffs_repr_apply_toFun	algebraMapCoeffs_repr_apply_apply	0
bernoulli'_odd_eq_zero	bernoulli'_eq_zero_of_odd	0
bilinFormOfRealInner_orthogonal	orthogonalBilin_inner	0
characteristic_top_mul_eventually_le	characteristic_mul_top_eventuallyLE	0
characteristic_zero_mul_eventually_le	characteristic_mul_zero_eventuallyLE	0
coeff_zero_eq_prod_roots_of_monic_of_splits	Splits.coeff_zero_eq_prod_roots_of_monic	0
CommGroup.is_simple_iff_isCyclic_and_prime_card	CommGroup.is_simple_iff_prime_card	0
congr_linearEquiv_toAddEquiv	congrLinearEquiv_toAddEquiv	0
congr_linearEquiv_toLinearMap	congrLinearEquiv_toLinearMap	0
Continuous.fourier_inversion_inv	Continuous.fourier_fourierInv_eq	0
degree_eq_card_roots'	Splits.degree_eq_card_roots	0
degree_eq_one_of_irreducible_of_splits	Splits.degree_eq_one_of_irreducible	0
DenseAt.precompEquivalence	DenseAt.precompOfFinal	0
derivativeFinsupp_apply_toFun	derivativeFinsupp_apply_apply	0
discreteTopology_iUnion_fintype	discreteTopology_iUnion_finite	0
eq_prod_roots_of_monic_of_splits_id	Splits.eq_prod_roots_of_monic	0
eq_prod_roots_of_splits	Splits.eq_prod_roots	0
eq_prod_roots_of_splits_id	Splits.eq_prod_roots	0
eq_X_sub_C_of_splits_of_single_root	Splits.eq_X_sub_C_of_single_root	0
eval_derivative_div_eval_of_ne_zero_of_splits	Splits.eval_derivative_div_eval_of_ne_zero	0
eval_derivative_eq_eval_mul_sum_of_splits	Splits.eval_derivative_eq_eval_mul_sum	0
eval_derivative_of_splits	Splits.eval_derivative	0
eval_eq_prod_roots_sub_of_monic_of_splits_id	Splits.eval_eq_prod_roots_of_monic	0
eval_eq_prod_roots_sub_of_splits_id	Splits.eval_eq_prod_roots	0
exists_end_ringEquiv	exists_end_ringEquiv_pi_matrix_end	0
exists_measure_closedBall_le_mul'	eventually_measure_le_doublingConstant_mul	0
exists_msmooth_support_eq_eq_one_iff	exists_contMDiff_support_eq_eq_one_iff	0
exists_root_of_splits	Splits.exists_eval_eq_zero	0
exists_root_of_splits'	Splits.exists_eval_eq_zero	0
exists_smooth_forall_mem_convex_of_local	exists_contMDiffMap_forall_mem_convex_of_local	0
exists_smooth_one_nhds_of_subset_interior	exists_contMDiffMap_one_nhds_of_subset_interior	0
exists_smooth_zero_one_nhds_of_isClosed	exists_contMDiffMap_zero_one_nhds_of_isClosed	0
exists_smooth_zero_one_of_isClosed	exists_contMDiffMap_zero_one_of_isClosed	0
extendDomain_toFun	extendDomain_apply	0
finite_of_fg_of_isAlgebraic	Algebra.finite_of_essFiniteType_of_isAlgebraic	0
fintype_of_finiteDimensional	fintypeOfFiniteDimensional	0
FormallySmooth.iff_subsingleton_and_projective	Algebra.formallySmooth_iff	0
fourierIntegral_comp_linearIsometry	fourier_comp_linearIsometry	0
fourierIntegral_deriv	fourier_deriv	0
fourierIntegral_iteratedDeriv	fourier_iteratedDeriv	0
fourierIntegral_real_eq_integral_exp_smul	fourier_real_eq_integral_exp_smul	0
fourierIntegralInv_comm	fourierInv_comm	0
fourierIntegralInv_comp_linearIsometry	fourierInv_comp_linearIsometry	0
fourierIntegralInv_eq	fourierInv_eq	0
fourierIntegralInv_eq'	fourierInv_eq'	0
generateMeasurableRec_of_omega1_le	generateMeasurableRec_of_omega_one_le	0
generateMeasurableRec_omega1	generateMeasurableRec_omega_one	0
H1Map_id	map_id	0
hasDerivAt_fourierIntegral	hasDerivAt_fourier	0
hasFPowerSeriesOnBall_linear_zero	hasFPowerSeriesOnBall_ofScalars_mul_add_zero	0
HasProdUniformlyOn.tprod_eq	HasProdUniformlyOn.tprod_eqOn	0
HasSumUniformlyOn.tsum_eq	HasSumUniformlyOn.tsum_eqOn	0
image_specComap_zeroLocus_eq_zeroLocus_comap	image_comap_zeroLocus_eq_zeroLocus_comap	0
inertiaDeg_of_not_dvd	inertiaDeg_eq_of_not_dvd	0
injective_add_left_of_ne_top	add_left_injective_of_ne_top	0
injective_add_right_of_ne_top	add_right_injective_of_ne_top	0
injective_of_lt_imp_ne	Function.Injective.of_lt_imp_ne	0
injective_path_homotopic_mapFn	injective_path_homotopic_map	0
InnerProduct.laplacian	_root_.Laplacian.laplacian	0
Inseparable.enorm_eq_enorm'	Inseparable.enorm_eq_enorm	0
integral_bilin_fourierIntegral_eq	integral_bilin_fourier_eq	0
integral_sesq_fourierIntegral_eq	integral_sesq_fourier_eq	0
IsAlgClosed.factors	IsAlgClosed.splits	0
isComplete_map_iff'	isComplete_map_iff	0
isDedekindFiniteMonoid_of_injective	IsDedekindFiniteMonoid.of_injective	0
isIso_left_iff_subobjectMk_eq	isIso_hom_left_iff_subobjectMk_eq	0
IsLocalDiffeomorph.diffeomorph_of_bijective	IsLocalDiffeomorph.diffeomorphOfBijective	0
IsLocalHom.of_specComap_surjective	IsLocalHom.of_comap_surjective	0
IsNormal.apply_le_nfp	apply_le_nfp	0
IsNormal.apply_lt_nfp	apply_lt_nfp	0
IsNormal.apply_omega0	apply_omega0_of_isNormal	0
IsNormal.cof_eq	cof_eq_of_isNormal	0
IsNormal.cof_le	le_cof_map_of_isNormal	0
IsNormal.isFundamentalSequence	IsFundamentalSequence.of_isNormal	0
IsNormal.nfp_fp	nfp_fp	0
IsNormal.nfp_le_apply	nfp_le_apply	0
IsNormal.veblenWith_zero	isNormal_veblenWith_zero	0
IsOpen.exists_msmooth_support_eq	IsOpen.exists_contMDiff_support_eq	0
IsOpen.exists_msmooth_support_eq_aux	IsOpen.exists_contMDiff_support_eq_aux	0
IsOpen.exists_smooth_support_eq	IsOpen.exists_contDiff_support_eq	0
isPredPrelimit_of_pred_lt	isPredPrelimit_of_lt_pred	0
IsSepClosed.factors_of_separable	IsSepClosed.splits_of_separable	0
iSup_add_nat	iSup_add_natCast	0
iSup_mul_nat	iSup_mul_natCast	0
